rank,GID_3,NAME_3,NAME_2,NAME_1,TYPE_3,cells,risk_mean,risk_max,risk_p75,risk_p90,risk_p95,class_max,class_3plus_cells,class_3plus_pct,risk_mean_norm,risk_max_norm,risk_p75_norm,risk_p90_norm,risk_p95_norm
57,THA.10.4.10_1,TalatKhwan,DoiSaket,ChiangMai,Tambon,1153,0.3698272109031677,0.49712127447128296,0.3884282410144806,0.41831299662590027,0.43115299940109253,3,13,1.1274934952298352,0.22642355990412624,0.6778761409898307,0.2923927246807036,0.39837999288250436,0.4439174848245882
58,THA.47.3.2_1,HuaiMa,MuangPhrae,Phrae,Tambon,1969,0.36402156949043274,0.4832848906517029,0.3776795566082001,0.4182066023349762,0.43150216341018677,3,4,0.20314880650076178,0.205833661780285,0.6288049509189803,0.25427216208357656,0.398002662032156,0.4451558064611936
59,THA.47.3.5_1,NaChak,MuangPhrae,Phrae,Tambon,2535,0.3662720024585724,0.516965925693512,0.38677871227264404,0.4180009067058563,0.4325715899467468,3,37,1.4595660749506902,0.21381489628210734,0.7482558489188414,0.286542616771479,0.3972731557214825,0.44894856282923307
60,THA.47.4.1_1,MaeKhamMi,NongMuangKai,Phrae,Tambon,1702,0.36397916078567505,0.5071089863777161,0.3768685460090637,0.4179844856262207,0.43594908714294434,3,23,1.3513513513513513,0.20568325791472597,0.7132978896001805,0.2513958863327278,0.3972149178227312,0.46092696766676255
61,THA.47.2.4_1,PakKang,Long,Phrae,Tambon,2683,0.36710992455482483,0.5057117342948914,0.3742038905620575,0.4176846742630005,0.4437011480331421,3,84,3.130823704808051,0.21678661454216186,0.7083424891554374,0.2419455981925324,0.39615162696712775,0.48841990645365757
62,THA.47.7.7_1,NamCham,SungMen,Phrae,Tambon,1482,0.3628271818161011,0.5009744763374329,0.38447561860084534,0.417637437582016,0.4296366572380066,3,9,0.6072874493927125,0.20159772662918937,0.6915416480775733,0.27837461935297164,0.3959841005251663,0.4385397274952535
63,THA.20.6.5_1,MueangNga,MuangLamphun,Lamphun,Tambon,2399,0.36718806624412537,0.5086049437522888,0.39189353585243225,0.41728466749191284,0.4336641728878021,3,42,1.7507294706127552,0.21706374661208158,0.7186033516069273,0.3046825067409575,0.3947329898037171,0.45282344414705417
64,THA.41.1.2_1,ChadiKham,ChiangKham,Phayao,Tambon,1778,0.3664645552635193,0.48113176226615906,0.3828938603401184,0.41714027523994446,0.43707168102264404,3,27,1.5185601799775028,0.21449779113479664,0.6211688103181068,0.27276486168287656,0.3942208979353872,0.46490828376506005
65,THA.10.20.6_1,SanKamphaeng,SanKamphaeng,ChiangMai,Tambon,2131,0.36538228392601013,0.5038547515869141,0.39227694272994995,0.41678717732429504,0.43285953998565674,3,37,1.7362740497419051,0.21065948025793366,0.7017566389354916,0.3060422718361205,0.3929686245698613,0.4499697871082431
66,THA.11.2.5_1,Wiang,ChiangSaen,ChiangRai,Tambon,12659,0.35977599024772644,0.5073845982551575,0.3757469654083252,0.41644471883773804,0.4398880898952484,3,366,2.891223635358243,0.19077657542764428,0.71427535618394,0.24741816386157645,0.39175408428937025,0.4748967704178532
67,THA.75.3.7_1,SiPhanomMat,Laplae,Uttaradit,Tambon,307,0.3730885684490204,0.48081550002098083,0.4004233479499817,0.4162788391113281,0.43408331274986267,3,3,0.9771986970684038,0.23799007165375444,0.620047175868836,0.33493376575237394,0.39116578638655825,0.4543099374465778
68,THA.20.7.4_1,MuangNoi,PaSang,Lamphun,Tambon,805,0.3638648986816406,0.4871770143508911,0.38442644476890564,0.4162423312664032,0.43094542622566223,3,10,1.2422360248447204,0.2052780236065367,0.6426084955671024,0.2782002227414661,0.3910363101143799,0.44318131973420266
69,THA.32.7.4_1,DuTai,MuangNan,Nan,Tambon,2858,0.3599337637424469,0.5078635215759277,0.378618061542511,0.4160487651824951,0.4335021674633026,3,51,1.7844646606018195,0.19133612431328692,0.715973873485088,0.25760060068534696,0.3903498216345444,0.45224888658333046
70,THA.10.5.2_1,BongTan,DoiTao,ChiangMai,Tambon,4365,0.3594537377357483,0.5043538212776184,0.3850855529308319,0.41578617691993713,0.4432619512081146,3,181,4.146620847651775,0.1896336963002446,0.7035266059998987,0.2805377715051368,0.3894185437291048,0.4868622804756229
71,THA.19.3.4_1,NaKaeo,KoKha,Lampang,Tambon,11518,0.36392804980278015,0.5465660095214844,0.374521404504776,0.41564831137657166,0.43773913383483887,3,229,1.9881923945129363,0.20550199113367626,0.8532335192823992,0.24307167182827788,0.3889295990473929,0.4672754271052287
72,THA.10.7.4_1,HanKaeo,HangDong,ChiangMai,Tambon,1132,0.36103036999702454,0.4998326003551483,0.37991297245025635,0.41515886783599854,0.4285402297973633,3,10,0.88339222614841,0.1952252744447767,0.6874919473685823,0.2621930447883264,0.3871937714408743,0.43465121153326014
73,THA.19.3.5_1,NaSaeng,KoKha,Lampang,Tambon,13318,0.3593635559082031,0.5101192593574524,0.3717096149921417,0.4149729311466217,0.4298749268054962,3,154,1.1563297792461331,0.189313863484235,0.7239739216819697,0.23309956788747466,0.38653434085955124,0.43938475834918495
